** Black **|0,06198823#0,06401297#0,06603771#1
** White **|1#1#1#1
Archs Background|0,1203275#0,1295123#0,1509434#1
Backstreet Horizontal Bricks|0,2302866#0,2321408#0,2358491#1
Backstreet House Shape|0,1886792#0,1853417#0,1842292#1
Balcony|0,9021448#0,9036276#0,9150943#1
Balcony (Back)|0,7754094#0,7754094#0,8018868#1
Balcony (Backg.)|0,5515752#0,5784087#0,6320754#1
Balcony Windows|0,4793966#0,4889975#0,5377358#1
Balcony Windows (Back)|0,3938234#0,4093983#0,4716981#1
Balcony Windows (Backg.)|0,4027234#0,4212097#0,4716981#1
Big Stone|0,5295479#0,5680019#0,6415094#1
Big Stone (Backg.)|0,4283108#0,4587336#0,5188679#1
Bricks|0,6037736#0,5243757#0,4585262#1
Bricks (Back)|0,5377358#0,4787796#0,4286668#1
Bricks (Backg. 1)|0,4150943#0,4150943#0,4150943#1
Bricks (Backg. 2)|0,2980598#0,3077862#0,3207547#0,6156863
Bricks (Backg. Riverside Border)|0,4576806#0,4644792#0,5188679#1
Bricks (Backg. Riverside Wall)|0,2835529#0,3000439#0,3396226#0,7058824
Bricks (Tower)|0,2735849#0,2658419#0,2619705#1
Bridge Wall|0,5773852#0,5897651#0,7075472#1
Clock Tower Bricks|0,5754717#0,5357723#0,5021805#1
Clock Tower Shape|0,5188679#0,4844501#0,4576806#1
Cracks|1#1#1#0,9215686
Curtain (Blue)|0,4362763#0,4699979#0,7169812#1
Door & Curtain (Blue)|0,4372108#0,4893062#0,7075472#1
Door (Black)|0,3014522#0,2993058#0,3584906#1
Door (Blue) #1|0,2980392#0,4298038#0,5294118#1
Door (Blue) #2|0,4078431#0,4475432#0,6705883#1
Door (Blue) #3|0,4133143#0,4998267#0,6792453#1
Door (Blue) (Backg.) #1|0,4207458#0,5428283#0,5754717#1
Door (Blue) (Backg.) #2|0,373131#0,4502515#0,6132076#1
Door (Cyan)|0,3171947#0,6589433#0,6792453#1
Door (Cyan) #2|0,4552332#0,6226415#0,593778#1
Door (Dark Blue)|0,2382965#0,3590218#0,4245283#1
Door (Gold)|0,7264151#0,584761#0,3597811#1
Door (Green / Blue)|0,2967693#0,5377358#0,4985543#1
Door (Green / Blue) (Backg.) #1|0,3373531#0,5377358#0,4969171#1
Door (Green / Blue) (Backg.) #2|0,4453542#0,6792453#0,582839#1
Door (Green)|0,3523496#0,6981132#0,4121933#1
Door (Green) (Backg.)|0,3688656#0,5377358#0,3272072#1
Door (Magenta)|0,6114244#0,4025009#0,6320754#1
Door (Orange)|0,6886792#0,3971761#0,2371395#1
Door (Orange) #2|0,745283#0,5292302#0,3620951#1
Door (Orange) (Backg.) #1|0,5471698#0,4409735#0,3019758#1
Door (Orange) (Backg.) #2|0,6698113#0,5222843#0,3443841#1
Door (Pink) (Backg.)|0,6670437#0,4770826#0,6698113#1
Door (Purple)|0,5780406#0,4886526#0,745283#1
Door (Purple) (Backg.) #1|0,4810384#0,4470588#0,6784314#1
Door (Purple) (Backg.) #2|0,5825592#0,5127714#0,6509434#1
Door (Red) (Backg.)|0,5960785#0,3607843#0,39419#1
Door (Wood)|0,5283019#0,3958704#0,2965468#1
Door (Wood) (Backg.)|0,5#0,4195189#0,3561321#1
Door (Yellow) (Backg.)|0,5708591#0,5849056#0,3172837#1
Door Handle|0,6235294#0,5960785#0,3098039#1
Door Handle (Backg.)|0,754717#0,7291555#0,5233179#1
Doors (Pub)|0,09198113#0,3679245#0,1381539#1
Fire|1#1#1#0,2588235
Fish|0,7254902#0,7803922#0,8784314#1
Flowers (Back)|0,875089#0,8770031#0,8962264#1
Flowers (Backg.)|0,5106354#0,5392027#0,7075472#1
Flowers (Throwable)|0,7468218#0,6740388#0,764151#1
Glasses (Back)|0,8206239#0,8207547#0,8091403#1
Glasses (Backg. 1 Off)|0,4120238#0,422236#0,4433962#1
Glasses (Backg. 1 On)|0,8301887#0,8138239#0,6539694#1
Glasses (Backg. 2 Off)|0,2255251#0,2266498#0,2641509#1
Glasses (Backg. 2 On)|0,8396226#0,8364224#0,629717#1
Glasses (Backg. 3)|1#1#1#0,6862745
Glasses (Dark)|0,3799213#0,3794055#0,3962264#1
Glasses (Light)|0,8287881#0,8277411#0,8396226#1
Glasses (Transparent)|0,7859113#0,7859113#0,8207547#0,572549
Ground (Backg.)|0,1816483#0,2078508#0,245283#1
Gutter|0,6698113#0,6134052#0,4644446#1
Gutter (Backg.)|0,764151#0,7421029#0,6668299#1
Horizontal Bricks (Backg. 1)|0,427451#0,4420319#0,4901961#1
Horizontal Bricks (Backg. 2)|0,2280171#0,2340394#0,2641509#1
Horizontal Bricks (Backg. 3)|0,4478907#0,4602346#0,5188679#0,5803922
Horizontal Bricks (Dark)|0,3243592#0,3318772#0,3490566#1
Horizontal Bricks (Light)|0,5471698#0,496904#0,4774831#1
House Shape|0,6226415#0,5884347#0,5727127#1
House Shape (Back)|0,5#0,4679919#0,4551887#1
House Shape (Backg. 1)|0,4056604#0,3968744#0,376958#1
