** Black **|0,06198823#0,06401297#0,06603771#1
** White **|1#1#1#1
Balcony (Backg.)|0,5515752#0,5784087#0,6320754#1
Balcony Windows (Backg.)|0,4027234#0,4212097#0,4716981#1
Big Stone|0,5295479#0,5680019#0,6415094#1
Big Stone (Backg.)|0,4283108#0,4587336#0,5188679#1
Bricks|0,6037736#0,5243757#0,4585262#1
Bricks (Backg. 1)|0,4150943#0,4150943#0,4150943#1
Bricks (Backg. 2)|0,2980598#0,3077862#0,3207547#0,6156863
Cracks|1#1#1#0,9215686
Door & Curtain (Blue)|0,4372108#0,4893062#0,7075472#1
Door (Blue) #1|0,2980392#0,4298038#0,5294118#1
Door (Blue) #2|0,4078431#0,4475432#0,6705883#1
Door (Blue) (Backg.) #1|0,4207458#0,5428283#0,5754717#1
Door (Blue) (Backg.) #2|0,373131#0,4502515#0,6132076#1
Door (Cyan)|0,3171947#0,6589433#0,6792453#1
Door (Dark Blue)|0,2382965#0,3590218#0,4245283#1
Door (Green / Blue)|0,2967693#0,5377358#0,4985543#1
Door (Green / Blue) (Backg.) #1|0,3373531#0,5377358#0,4969171#1
Door (Green / Blue) (Backg.) #2|0,4453542#0,6792453#0,582839#1
Door (Green)|0,3523496#0,6981132#0,4121933#1
Door (Green) (Backg.)|0,3688656#0,5377358#0,3272072#1
Door (Orange)|0,6886792#0,3971761#0,2371395#1
Door (Orange) (Backg.) #1|0,5471698#0,4409735#0,3019758#1
Door (Orange) (Backg.) #2|0,6698113#0,5222843#0,3443841#1
Door (Pink) (Backg.)|0,6670437#0,4770826#0,6698113#1
Door (Purple)|0,5780406#0,4886526#0,745283#1
Door (Purple) (Backg.) #1|0,4810384#0,4470588#0,6784314#1
Door (Purple) (Backg.) #2|0,5825592#0,5127714#0,6509434#1
Door (Red) (Backg.)|0,5960785#0,3607843#0,39419#1
Door (Wood)|0,5283019#0,3958704#0,2965468#1
Door (Wood) (Backg.)|0,5#0,4195189#0,3561321#1
Door (Yellow) (Backg.)|0,5708591#0,5849056#0,3172837#1
Door Handle|0,6235294#0,5960785#0,3098039#1
Door Handle (Backg.)|0,754717#0,7291555#0,5233179#1
Doors (Pub)|0,09198113#0,3679245#0,1381539#1
Flowers (Backg.)|0,5106354#0,5392027#0,7075472#1
Glasses (Backg. 1 Off)|0,4120238#0,422236#0,4433962#1
Glasses (Backg. 1 On)|0,8301887#0,8138239#0,6539694#1
Glasses (Backg. 2 Off)|0,2255251#0,2266498#0,2641509#1
Glasses (Backg. 2 On)|0,8396226#0,8364224#0,629717#1
Glasses (Backg. 3)|1#1#1#0,6862745
Glasses (Dark)|0,3799213#0,3794055#0,3962264#1
Glasses (Light)|0,8287881#0,8277411#0,8396226#1
Glasses (Transparent)|0,827451#0,827451#0,8392157#0,572549
Ground (Backg.)|0,1816483#0,2078508#0,245283#1
Gutter|0,6698113#0,6134052#0,4644446#1
Gutter (Backg.)|0,764151#0,7421029#0,6668299#1
Horizontal Bricks (Backg. 1)|0,427451#0,4420319#0,4901961#1
Horizontal Bricks (Backg. 2)|0,2280171#0,2340394#0,2641509#1
Horizontal Bricks (Backg. 3)|0,4478907#0,4602346#0,5188679#0,5803922
Horizontal Bricks (Dark)|0,3243592#0,3318772#0,3490566#1
Horizontal Bricks (Light)|0,5471698#0,496904#0,4774831#1
House Shape|0,6226415#0,5884347#0,5727127#1
House Shape (Backg. 1)|0,4056604#0,3968744#0,376958#1
House Shape (Backg. 2)|0,2392157#0,2429686#0,2627451#1
House Shape (Backg. 3)|0,372864#0,387764#0,4622642#1
Lightly Dark Things|0,7768779#0,7768779#0,8113208#1
Lightly Dark Things (Backg.)|0,6459594#0,6567892#0,7169812#1
Park Bricks (Backg.)|0,6132076#0,5596429#0,5293254#1
Park Shape (Backg.)|0,5137255#0,5215687#0,5490196#1
Penthouse (Blue)|0,4392157#0,5498202#0,7529412#1
Penthouse (Blue) (Backg.)|0,3475881#0,5480969#0,6886792#1
Penthouse (Green)|0,2756764#0,5566038#0,3469361#1
Penthouse (Pink) (Backg.)|0,6901961#0,3490196#0,6784225#1
Penthouse (Purple)|0,5097556#0,3161267#0,6037736#1
Penthouse (Purple) (Backg.)|0,3799536#0,3490196#0,6901961#1
Roof|0,6132076#0,4400376#0,373131#1
Roof (Backg. 1)|0,4056604#0,340219#0,2965913#1
Roof (Backg. 2)|0,2392157#0,2431373#0,2627451#1
Roof (Backg. 3)|0,372549#0,3882353#0,4627451#1
Sewer Drains|0,6509434#0,6446739#0,623309#1
Sewer Drains (Backg.)|0,5119705#0,5329744#0,5566038#1
Smokestacks|0,3664812#0,3613386#0,3773585#1
Smokestacks (Backg.)|0,3048238#0,3328052#0,4716981#1
Wall Bricks|0,4156863#0,4470588#0,5019608#1
Wall Bricks (Backg.)|0,3264062#0,3607489#0,4245283#1
Wall Textures #1|0,2784314#0,3234078#0,3686275#1
Wall Textures #2|0,3287716#0,2794144#0,3679245#1
Wall Textures (Backg.)|0,3048035#0,2261481#0,3962264#1
Water|0,4390797#0,5807492#0,6509434#1
Windows #1|0,4327163#0,4522184#0,490566#1
Windows #2|0,4528302#0,3246256#0,2798149#1
Windows (Backg. 1)|0,3490566#0,2997051#0,2980153#1
Windows (Backg. 2)|0,2912514#0,2977409#0,3301887#1
Windows (Backg. 3)|0,4568352#0,4725455#0,5471698#0,7137255
Wooden Planks (Dark)|0,245283#0,1554744#0,1029726#1
Wooden Planks (Dark) (Backg.)|0,2641509#0,1852116#0,1383054#1
Wooden Planks (Light)|0,3584906#0,2392831#0,2046102#1
Wooden Planks (Light) (Backg.)|0,3411765#0,2745098#0,2392157#1
